"f_9094","Points:0","Points:1","Points:2"
1.982e+07,0.00060204,0.0039349,0
1.9699e+07,0.00060657,0.0039645,0
1.9571e+07,0.00061109,0.0039941,0
1.9458e+07,0.00061562,0.0040237,0
1.9308e+07,0.00062015,0.0040533,0
1.9137e+07,0.00062467,0.0040828,0
1.8955e+07,0.0006292,0.0041124,0
1.8858e+07,0.00063373,0.004142,0
1.8915e+07,0.00063825,0.0041716,0
1.8785e+07,0.00064278,0.0042012,0
1.8719e+07,0.00064731,0.0042308,0
1.8643e+07,0.00065183,0.0042604,0
1.833e+07,0.00065636,0.0042899,0
1.8628e+07,0.00066089,0.0043195,0
1.8392e+07,0.00066541,0.0043491,0
1.8377e+07,0.00066994,0.0043787,0
1.8352e+07,0.00067447,0.0044083,0
1.8184e+07,0.00067899,0.0044379,0
1.8176e+07,0.00068352,0.0044675,0
1.8163e+07,0.00068805,0.004497,0
1.8182e+07,0.00069257,0.0045266,0
1.8171e+07,0.0006971,0.0045562,0
1.8104e+07,0.00070163,0.0045858,0
1.828e+07,0.00070615,0.0046154,0
1.8362e+07,0.00071068,0.004645,0
1.8452e+07,0.00071521,0.0046746,0
1.8569e+07,0.00071973,0.0047041,0
1.8731e+07,0.00072426,0.0047337,0
1.8912e+07,0.00072879,0.0047633,0
1.914e+07,0.00073331,0.0047929,0
1.9438e+07,0.00073784,0.0048225,0
1.9875e+07,0.00074237,0.0048521,0
2.0397e+07,0.00074689,0.0048817,0
2.1136e+07,0.00075142,0.0049112,0
2.2851e+07,0.00075595,0.0049408,0
2.6153e+07,0.00076047,0.0049704,0
0,0.00073642,0.005,0
0,0.00070785,0.005,0
0,0.00067927,0.005,0
0,0.00065069,0.005,0
0,0.00062212,0.005,0
0,0.00059354,0.005,0
0,0.00056496,0.005,0
0,0.00053638,0.005,0
0,0.00050781,0.005,0
0,0.00047923,0.005,0
0,0.00045065,0.005,0
0,0.00042208,0.005,0
0,0.0003935,0.0050299,0
0,0.0003935,0.0050599,0
0,0.0003935,0.0050898,0
0,0.0003935,0.0051198,0
0,0.0003935,0.0051497,0
0,0.0003935,0.0051796,0
0,0.0003935,0.0052096,0
0,0.0003935,0.0052395,0
0,0.0003935,0.0052695,0
0,0.0003935,0.0052994,0
0,0.0003935,0.0053293,0
0,0.0003935,0.0053593,0
0,0.0003935,0.0053892,0
0,0.0003935,0.0054192,0
0,0.0003935,0.0054491,0
0,0.0003935,0.005479,0
0,0.0003935,0.005509,0
0,0.0003935,0.0055389,0
0,0.0003935,0.0055689,0
0,0.0003935,0.0055988,0
0,0.0003935,0.0056287,0
0,0.0003935,0.0056587,0
0,0.0003935,0.0056886,0
0,0.0003935,0.0057186,0
0,0.0003935,0.0057485,0
0,0.0003935,0.0057784,0
0,0.0003935,0.0058084,0
0,0.0003935,0.0058383,0
0,0.0003935,0.0058683,0
0,0.0003935,0.0058982,0
0,0.0003935,0.0059281,0
0,0.0003935,0.0059581,0
0,0.0003935,0.005988,0
0,0.0003935,0.006018,0
0,0.0003935,0.0060479,0
0,0.0003935,0.0060778,0
0,0.0003935,0.0061078,0
0,0.0003935,0.0061377,0
0,0.0003935,0.0061677,0
0,0.0003935,0.0061976,0
0,0.0003935,0.0062275,0
0,0.0003935,0.0062575,0
0,0.0003935,0.0062874,0
0,0.0003935,0.0063174,0
0,0.0003935,0.0063473,0
0,0.0003935,0.0063772,0
0,0.0003935,0.0064072,0
0,0.0003935,0.0064371,0
0,0.0003935,0.0064671,0
0,0.0003935,0.006497,0
0,0.0003935,0.0065269,0
0,0.0003935,0.0065569,0
0,0.0003935,0.0065868,0
0,0.0003935,0.0066168,0
0,0.0003935,0.0066467,0
0,0.0003935,0.0066766,0
0,0.0003935,0.0067066,0
0,0.0003935,0.0067365,0
0,0.0003935,0.0067665,0
0,0.0003935,0.0067964,0
0,0.0003935,0.0068263,0
0,0.0003935,0.0068563,0
0,0.0003935,0.0068862,0
0,0.0003935,0.0069162,0
0,0.0003935,0.0069461,0
0,0.0003935,0.006976,0
0,0.0003935,0.007006,0
0,0.0003935,0.0070359,0
0,0.0003935,0.0070659,0
0,0.0003935,0.0070958,0
0,0.0003935,0.0071257,0
0,0.0003935,0.0071557,0
0,0.0003935,0.0071856,0
0,0.0003935,0.0072156,0
0,0.0003935,0.0072455,0
0,0.0003935,0.0072754,0
0,0.0003935,0.0073054,0
0,0.0003935,0.0073353,0
0,0.0003935,0.0073653,0
0,0.0003935,0.0073952,0
0,0.0003935,0.0074251,0
0,0.0003935,0.0074551,0
0,0.0003935,0.007485,0
0,0.0003935,0.007515,0
0,0.0003935,0.0075449,0
0,0.0003935,0.0075749,0
0,0.0003935,0.0076048,0
0,0.0003935,0.0076347,0
0,0.0003935,0.0076647,0
0,0.0003935,0.0076946,0
0,0.0003935,0.0077246,0
0,0.0003935,0.0077545,0
0,0.0003935,0.0077844,0
0,0.0003935,0.0078144,0
0,0.0003935,0.0078443,0
0,0.0003935,0.0078743,0
0,0.0003935,0.0079042,0
0,0.0003935,0.0079341,0
0,0.0003935,0.0079641,0
0,0.0003935,0.007994,0
0,0.0003935,0.008024,0
0,0.0003935,0.0080539,0
0,0.0003935,0.0080838,0
0,0.0003935,0.0081138,0
0,0.0003935,0.0081437,0
0,0.0003935,0.0081737,0
0,0.0003935,0.0082036,0
0,0.0003935,0.0082335,0
0,0.0003935,0.0082635,0
0,0.0003935,0.0082934,0
0,0.0003935,0.0083234,0
0,0.0003935,0.0083533,0
0,0.0003935,0.0083832,0
0,0.0003935,0.0084132,0
0,0.0003935,0.0084431,0
0,0.0003935,0.0084731,0
0,0.0003935,0.008503,0
0,0.0003935,0.0085329,0
0,0.0003935,0.0085629,0
0,0.0003935,0.0085928,0
0,0.0003935,0.0086228,0
0,0.0003935,0.0086527,0
0,0.0003935,0.0086826,0
0,0.0003935,0.0087126,0
0,0.0003935,0.0087425,0
0,0.0003935,0.0087725,0
0,0.0003935,0.0088024,0
0,0.0003935,0.0088323,0
0,0.0003935,0.0088623,0
0,0.0003935,0.0088922,0
0,0.0003935,0.0089222,0
0,0.0003935,0.0089521,0
0,0.0003935,0.008982,0
0,0.0003935,0.009012,0
0,0.0003935,0.0090419,0
0,0.0003935,0.0090719,0
0,0.0003935,0.0091018,0
0,0.0003935,0.0091317,0
0,0.0003935,0.0091617,0
0,0.0003935,0.0091916,0
0,0.0003935,0.0092216,0
0,0.0003935,0.0092515,0
0,0.0003935,0.0092814,0
0,0.0003935,0.0093114,0
0,0.0003935,0.0093413,0
0,0.0003935,0.0093713,0
0,0.0003935,0.0094012,0
0,0.0003935,0.0094311,0
0,0.0003935,0.0094611,0
0,0.0003935,0.009491,0
0,0.0003935,0.009521,0
0,0.0003935,0.0095509,0
0,0.0003935,0.0095808,0
0,0.0003935,0.0096108,0
0,0.0003935,0.0096407,0
0,0.0003935,0.0096707,0
0,0.0003935,0.0097006,0
0,0.0003935,0.0097305,0
0,0.0003935,0.0097605,0
0,0.0003935,0.0097904,0
0,0.0003935,0.0098204,0
0,0.0003935,0.0098503,0
0,0.0003935,0.0098802,0
0,0.0003935,0.0099102,0
0,0.0003935,0.0099401,0
0,0.0003935,0.0099701,0
0,0.00036431,0.01,0
0,0.00033512,0.01,0
0,0.00030593,0.01,0
0,0.00027674,0.01,0
0,0.00024755,0.01,0
0,0.00021836,0.01,0
0,0.00018917,0.01,0
0,0.00015998,0.01,0
0,0.00013079,0.01,0
0,0.0001016,0.01003,0
0,0.0001016,0.01006,0
0,0.0001016,0.01009,0
0,0.0001016,0.01012,0
0,0.0001016,0.01015,0
0,0.0001016,0.01018,0
0,0.0001016,0.01021,0
0,0.0001016,0.01024,0
0,0.0001016,0.01027,0
0,0.0001016,0.0103,0
0,0.0001016,0.01033,0
0,0.0001016,0.01036,0
0,0.0001016,0.01039,0
0,0.0001016,0.01042,0
0,0.0001016,0.01045,0
0,0.0001016,0.01048,0
0,0.0001016,0.01051,0
0,0.0001016,0.01054,0
0,0.0001016,0.01057,0
0,0.0001016,0.0106,0
0,0.0001016,0.01063,0
0,0.0001016,0.01066,0
0,0.0001016,0.01069,0
0,0.0001016,0.01072,0
0,0.0001016,0.01075,0
0,0.0001016,0.01078,0
0,0.0001016,0.01081,0
0,0.0001016,0.01084,0
0,0.0001016,0.01087,0
0,0.0001016,0.0109,0
0,0.0001016,0.01093,0
0,0.0001016,0.01096,0
0,0.0001016,0.01099,0
0,0.0001016,0.011019,0
0,0.0001016,0.011049,0
0,0.0001016,0.011079,0
0,0.0001016,0.011109,0
0,0.0001016,0.011139,0
0,0.0001016,0.011169,0
0,0.0001016,0.011199,0
0,0.0001016,0.011229,0
0,0.0001016,0.011259,0
0,0.0001016,0.011289,0
0,0.0001016,0.011319,0
0,0.0001016,0.011349,0
0,0.0001016,0.011379,0
0,0.0001016,0.011409,0
0,0.0001016,0.011439,0
0,0.0001016,0.011469,0
0,0.0001016,0.011499,0
0,0.0001016,0.011529,0
0,0.0001016,0.011559,0
0,0.0001016,0.011589,0
0,0.0001016,0.011619,0
0,0.0001016,0.011649,0
0,0.0001016,0.011679,0
0,0.0001016,0.011709,0
0,0.0001016,0.011739,0
0,0.0001016,0.011769,0
0,0.0001016,0.011799,0
0,0.0001016,0.011829,0
0,0.0001016,0.011859,0
0,0.0001016,0.011889,0
0,0.0001016,0.011919,0
0,0.0001016,0.011949,0
0,0.0001016,0.011979,0
0,0.0001016,0.012009,0
0,0.0001016,0.012039,0
0,0.0001016,0.012069,0
0,0.0001016,0.012099,0
0,0.0001016,0.012129,0
0,0.0001016,0.012159,0
0,0.0001016,0.012189,0
0,0.0001016,0.012219,0
0,0.0001016,0.012249,0
0,0.0001016,0.012279,0
0,0.0001016,0.012309,0
0,0.0001016,0.012339,0
0,0.0001016,0.012369,0
0,0.0001016,0.012399,0
0,0.0001016,0.012429,0
0,0.0001016,0.012459,0
0,0.0001016,0.012489,0
0,0.0001016,0.012519,0
0,0.0001016,0.012549,0
0,0.0001016,0.012579,0
0,0.0001016,0.012609,0
0,0.0001016,0.012639,0
0,0.0001016,0.012669,0
0,0.0001016,0.012699,0
0,0.0001016,0.012729,0
0,0.0001016,0.012759,0
0,0.0001016,0.012789,0
0,0.0001016,0.012819,0
0,0.0001016,0.012849,0
0,0.0001016,0.012879,0
0,0.0001016,0.012909,0
0,0.0001016,0.012939,0
0,0.0001016,0.012969,0
0,0.0001016,0.012999,0
0,0.0001016,0.013028,0
0,0.0001016,0.013058,0
0,0.0001016,0.013088,0
0,0.0001016,0.013118,0
0,0.0001016,0.013148,0
0,0.0001016,0.013178,0
0,0.0001016,0.013208,0
0,0.0001016,0.013238,0
0,0.0001016,0.013268,0
0,0.0001016,0.013298,0
0,0.0001016,0.013328,0
0,0.0001016,0.013358,0
0,0.0001016,0.013388,0
0,0.0001016,0.013418,0
0,0.0001016,0.013448,0
0,0.0001016,0.013478,0
0,0.0001016,0.013508,0
0,0.0001016,0.013538,0
0,0.0001016,0.013568,0
0,0.0001016,0.013598,0
0,0.0001016,0.013628,0
0,0.0001016,0.013658,0
0,0.0001016,0.013688,0
0,0.0001016,0.013718,0
0,0.0001016,0.013748,0
0,0.0001016,0.013778,0
0,0.0001016,0.013808,0
0,0.0001016,0.013838,0
0,0.0001016,0.013868,0
0,0.0001016,0.013898,0
0,0.0001016,0.013928,0
0,0.0001016,0.013958,0
0,0.0001016,0.013988,0
0,0.0001016,0.014018,0
0,0.0001016,0.014048,0
0,0.0001016,0.014078,0
0,0.0001016,0.014108,0
0,0.0001016,0.014138,0
0,0.0001016,0.014168,0
0,0.0001016,0.014198,0
0,0.0001016,0.014228,0
0,0.0001016,0.014258,0
0,0.0001016,0.014288,0
0,0.0001016,0.014318,0
0,0.0001016,0.014348,0
0,0.0001016,0.014378,0
0,0.0001016,0.014408,0
0,0.0001016,0.014438,0
0,0.0001016,0.014468,0
0,0.0001016,0.014498,0
0,0.0001016,0.014528,0
0,0.0001016,0.014558,0
0,0.0001016,0.014588,0
0,0.0001016,0.014618,0
0,0.0001016,0.014648,0
0,0.0001016,0.014678,0
0,0.0001016,0.014708,0
0,0.0001016,0.014738,0
0,0.0001016,0.014768,0
0,0.0001016,0.014798,0
0,0.0001016,0.014828,0
0,0.0001016,0.014858,0
0,0.0001016,0.014888,0
0,0.0001016,0.014918,0
0,0.0001016,0.014948,0
0,0.0001016,0.014978,0
0,0.0001016,0.015007,0
0,0.0001016,0.015037,0
0,0.0001016,0.015067,0
0,0.0001016,0.015097,0
0,0.0001016,0.015127,0
0,0.0001016,0.015157,0
0,0.0001016,0.015187,0
0,0.0001016,0.015217,0
0,0.0001016,0.015247,0
0,0.0001016,0.015277,0
0,0.0001016,0.015307,0
0,0.0001016,0.015337,0
0,0.0001016,0.015367,0
0,0.0001016,0.015397,0
0,0.0001016,0.015427,0
0,0.0001016,0.015457,0
0,0.0001016,0.015487,0
0,0.0001016,0.015517,0
0,0.0001016,0.015547,0
0,0.0001016,0.015577,0
